,a_tm,h_tm,sgoals,mqij,sim_ascore,sim_hscore
Los Angeles Lakers vs New Orleans Pelicans,Los Angeles Lakers,New Orleans Pelicans,208.40534088338453,-8.92686547211946,100.0,109.0
Los Angeles Lakers vs San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs,203.21434274465113,-18.826967019923394,93.0,112.0
Los Angeles Lakers vs Boston Celtics,Los Angeles Lakers,Boston Celtics,210.20331170175163,-12.355230479942248,100.0,112.0
Los Angeles Lakers vs Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets,203.8530670272044,-10.570838832168748,97.0,108.0
Los Angeles Lakers vs Denver Nuggets,Los Angeles Lakers,Denver Nuggets,214.58586014626533,-8.645742779301342,103.0,112.0
Los Angeles Lakers vs Indiana Pacers,Los Angeles Lakers,Indiana Pacers,204.41272014362553,-11.163391966463767,97.0,108.0
Los Angeles Lakers vs Memphis Grizzlies,Los Angeles Lakers,Memphis Grizzlies,200.666384671295,-10.89172341263288,95.0,106.0
Los Angeles Lakers vs Miami Heat,Los Angeles Lakers,Miami Heat,200.67707847085077,-10.848236154665093,95.0,106.0
Los Angeles Lakers vs New York Knicks,Los Angeles Lakers,New York Knicks,204.61743589925302,-5.469244463464587,100.0,106.0
Los Angeles Lakers vs Phoenix Suns,Los Angeles Lakers,Phoenix Suns,214.05594899517305,-6.384793767636468,105.0,111.0
Los Angeles Lakers vs Portland Trail Blazers,Los Angeles Lakers,Portland Trail Blazers,211.9451146585806,-11.803857375063629,101.0,113.0
Los Angeles Lakers vs Sacramento Kings,Los Angeles Lakers,Sacramento Kings,213.52657254057974,-7.459383444593895,103.0,111.0
Los Angeles Lakers vs Toronto Raptors,Los Angeles Lakers,Toronto Raptors,206.9469076879282,-13.737237348485332,97.0,111.0
Los Angeles Lakers vs Utah Jazz,Los Angeles Lakers,Utah Jazz,196.40251189489177,-12.570025472318399,92.0,105.0
Los Angeles Lakers vs Cleveland Cavaliers,Los Angeles Lakers,Cleveland Cavaliers,208.4729850007017,-15.760339627060148,97.0,113.0
Los Angeles Lakers vs Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,207.1595466836533,-10.475642688626264,99.0,109.0
Los Angeles Lakers vs Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers,210.9385028353765,-15.306592359488718,98.0,114.0
Los Angeles Lakers vs Minnesota Timberwolves,Los Angeles Lakers,Minnesota Timberwolves,210.66649600522877,-6.2009951502792084,102.0,109.0
Los Angeles Lakers vs Orlando Magic,Los Angeles Lakers,Orlando Magic,206.01823444545133,-6.4058893737233795,100.0,107.0
Los Angeles Lakers vs Chicago Bulls,Los Angeles Lakers,Chicago Bulls,205.25398256509314,-11.097553264111443,98.0,109.0
Los Angeles Lakers vs Milwaukee Bucks,Los Angeles Lakers,Milwaukee Bucks,204.46404028306725,-9.326321209586533,98.0,108.0
Los Angeles Lakers vs Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,205.47384373341825,-13.214471941396752,96.0,109.0
Los Angeles Lakers vs Detroit Pistons,Los Angeles Lakers,Detroit Pistons,204.5365325299047,-10.1501749376945,98.0,108.0
Los Angeles Lakers vs Golden State Warriors,Los Angeles Lakers,Golden State Warriors,217.5086083638606,-20.78145834199792,99.0,120.0
Los Angeles Lakers vs Houston Rockets,Los Angeles Lakers,Houston Rockets,216.4732220098729,-13.314469241007632,102.0,115.0
Los Angeles Lakers vs Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,213.24170672515547,-14.491275943833697,100.0,114.0
Los Angeles Lakers vs Philadelphia 76ers,Los Angeles Lakers,Philadelphia 76ers,205.43785238356477,-2.506333222190299,102.0,104.0
Los Angeles Lakers vs Washington Wizards,Los Angeles Lakers,Washington Wizards,209.32884493019768,-11.6994029991192,99.0,111.0
Los Angeles Lakers vs Brooklyn Nets,Los Angeles Lakers,Brooklyn Nets,209.98452646567657,-4.896865321154786,103.0,108.0
New Orleans Pelicans vs Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers,208.40534088338453,3.244753403153943,106.0,103.0
New Orleans Pelicans vs San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,200.59302983687385,-12.741157582286691,95.0,108.0
New Orleans Pelicans vs Boston Celtics,New Orleans Pelicans,Boston Celtics,207.58199879397435,-6.269421042305547,101.0,107.0
New Orleans Pelicans vs Charlotte Hornets,New Orleans Pelicans,Charlotte Hornets,201.23175411942717,-4.485029394532047,99.0,103.0
New Orleans Pelicans vs Denver Nuggets,New Orleans Pelicans,Denver Nuggets,211.964547238488,-2.5599333416646406,105.0,108.0
New Orleans Pelicans vs Indiana Pacers,New Orleans Pelicans,Indiana Pacers,201.7914072358482,-5.077582528827065,100.0,105.0
New Orleans Pelicans vs Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,198.0450717635177,-4.805913974996179,97.0,102.0
New Orleans Pelicans vs Miami Heat,New Orleans Pelicans,Miami Heat,198.0557655630735,-4.762426717028392,97.0,102.0
New Orleans Pelicans vs New York Knicks,New Orleans Pelicans,New York Knicks,201.9961229914758,0.6165649741721144,102.0,101.0
New Orleans Pelicans vs Phoenix Suns,New Orleans Pelicans,Phoenix Suns,211.43463608739572,-0.29898432999976743,106.0,106.0
New Orleans Pelicans vs Portland Trail Blazers,New Orleans Pelicans,Portland Trail Blazers,209.3238017508033,-5.7180479374269275,102.0,108.0
New Orleans Pelicans vs Sacramento Kings,New Orleans Pelicans,Sacramento Kings,210.90525963280245,-1.373574006957193,105.0,107.0
New Orleans Pelicans vs Toronto Raptors,New Orleans Pelicans,Toronto Raptors,204.32559478015085,-7.65142791084863,99.0,106.0
New Orleans Pelicans vs Utah Jazz,New Orleans Pelicans,Utah Jazz,193.78119898711455,-6.484216034681698,94.0,100.0
New Orleans Pelicans vs Cleveland Cavaliers,New Orleans Pelicans,Cleveland Cavaliers,205.85167209292442,-9.674530189423447,99.0,108.0
New Orleans Pelicans vs Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,204.53823377587597,-4.389833250989563,100.0,105.0
New Orleans Pelicans vs Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,208.31718992759923,-9.220782921852019,100.0,109.0
New Orleans Pelicans vs Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,208.04518309745143,-0.11518571264250754,104.0,104.0
New Orleans Pelicans vs Orlando Magic,New Orleans Pelicans,Orlando Magic,203.396921537674,-0.32007993608667773,102.0,102.0
New Orleans Pelicans vs Chicago Bulls,New Orleans Pelicans,Chicago Bulls,202.63266965731586,-5.011743826474742,99.0,104.0
New Orleans Pelicans vs Milwaukee Bucks,New Orleans Pelicans,Milwaukee Bucks,201.8427273752899,-3.240511771949831,100.0,103.0
New Orleans Pelicans vs Atlanta Hawks,New Orleans Pelicans,Atlanta Hawks,202.85253082564103,-7.128662503760051,98.0,105.0
New Orleans Pelicans vs Detroit Pistons,New Orleans Pelicans,Detroit Pistons,201.91521962212747,-4.064365500057797,100.0,104.0
New Orleans Pelicans vs Golden State Warriors,New Orleans Pelicans,Golden State Warriors,214.8872954560833,-14.695648904361216,100.0,115.0
New Orleans Pelicans vs Houston Rockets,New Orleans Pelicans,Houston Rockets,213.85190910209568,-7.228659803370931,104.0,111.0
New Orleans Pelicans vs Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,210.6203938173782,-8.405466506196996,101.0,110.0
New Orleans Pelicans vs Philadelphia 76ers,New Orleans Pelicans,Philadelphia 76ers,202.81653947578755,3.579476215446402,103.0,100.0
New Orleans Pelicans vs Washington Wizards,New Orleans Pelicans,Washington Wizards,206.70753202242045,-5.613593561482499,101.0,106.0
New Orleans Pelicans vs Brooklyn Nets,New Orleans Pelicans,Brooklyn Nets,207.3632135578993,1.1889441164819146,105.0,104.0
San Antonio Spurs vs Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,203.21434274465113,13.144854950957878,109.0,96.0
San Antonio Spurs vs New Orleans Pelicans,San Antonio Spurs,New Orleans Pelicans,200.59302983687385,7.059045513321175,105.0,97.0
San Antonio Spurs vs Boston Celtics,San Antonio Spurs,Boston Celtics,202.39100065524096,3.6306805054983866,104.0,100.0
San Antonio Spurs vs Charlotte Hornets,San Antonio Spurs,Charlotte Hornets,196.04075598069372,5.415072153271888,101.0,96.0
San Antonio Spurs vs Denver Nuggets,San Antonio Spurs,Denver Nuggets,206.77354909975466,7.3401682061392926,108.0,100.0
San Antonio Spurs vs Indiana Pacers,San Antonio Spurs,Indiana Pacers,196.60040909711486,4.82251901897687,101.0,97.0
San Antonio Spurs vs Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,192.85407362478432,5.094187572807755,100.0,94.0
San Antonio Spurs vs Miami Heat,San Antonio Spurs,Miami Heat,192.8647674243401,5.137674830775541,99.0,94.0
San Antonio Spurs vs New York Knicks,San Antonio Spurs,New York Knicks,196.80512485274235,10.516666521976049,104.0,94.0
San Antonio Spurs vs Phoenix Suns,San Antonio Spurs,Phoenix Suns,206.24363794866238,9.601117217804166,108.0,99.0
San Antonio Spurs vs Portland Trail Blazers,San Antonio Spurs,Portland Trail Blazers,204.13280361206992,4.182053610377006,105.0,101.0
San Antonio Spurs vs Sacramento Kings,San Antonio Spurs,Sacramento Kings,205.71426149406906,8.526527540846741,108.0,99.0
San Antonio Spurs vs Toronto Raptors,San Antonio Spurs,Toronto Raptors,199.13459664141752,2.2486736369553033,101.0,99.0
San Antonio Spurs vs Utah Jazz,San Antonio Spurs,Utah Jazz,188.5902008483811,3.415885513122235,97.0,93.0
San Antonio Spurs vs Cleveland Cavaliers,San Antonio Spurs,Cleveland Cavaliers,200.66067395419103,0.22557135838048792,101.0,101.0
San Antonio Spurs vs Dallas Mavericks,San Antonio Spurs,Dallas Mavericks,199.34723563714263,5.51026829681437,103.0,98.0
San Antonio Spurs vs Los Angeles Clippers,San Antonio Spurs,Los Angeles Clippers,203.12619178886584,0.6793186259519159,102.0,102.0
San Antonio Spurs vs Minnesota Timberwolves,San Antonio Spurs,Minnesota Timberwolves,202.8541849587181,9.784915835161428,107.0,97.0
San Antonio Spurs vs Orlando Magic,San Antonio Spurs,Orlando Magic,198.20592339894066,9.580021611717257,104.0,95.0
San Antonio Spurs vs Chicago Bulls,San Antonio Spurs,Chicago Bulls,197.44167151858247,4.888357721329191,101.0,97.0
San Antonio Spurs vs Milwaukee Bucks,San Antonio Spurs,Milwaukee Bucks,196.65172923655658,6.659589775854103,102.0,95.0
San Antonio Spurs vs Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,197.66153268690758,2.771439044043882,101.0,98.0
San Antonio Spurs vs Detroit Pistons,San Antonio Spurs,Detroit Pistons,196.72422148339402,5.835736047746137,102.0,96.0
San Antonio Spurs vs Golden State Warriors,San Antonio Spurs,Golden State Warriors,209.69629731734992,-4.795547356557282,103.0,108.0
San Antonio Spurs vs Houston Rockets,San Antonio Spurs,Houston Rockets,208.66091096336223,2.6714417444330016,106.0,103.0
San Antonio Spurs vs Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,205.4293956786448,1.4946350416069367,104.0,102.0
San Antonio Spurs vs Philadelphia 76ers,San Antonio Spurs,Philadelphia 76ers,197.6255413370541,13.479577763250337,106.0,93.0
San Antonio Spurs vs Washington Wizards,San Antonio Spurs,Washington Wizards,201.516533883687,4.2865079863214355,104.0,99.0
San Antonio Spurs vs Brooklyn Nets,San Antonio Spurs,Brooklyn Nets,202.1722154191659,11.089045664285848,107.0,96.0
Boston Celtics vs Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,210.20331170175163,6.673118410976732,109.0,102.0
Boston Celtics vs New Orleans Pelicans,Boston Celtics,New Orleans Pelicans,207.58199879397435,0.5873089733400305,105.0,104.0
Boston Celtics vs San Antonio Spurs,Boston Celtics,San Antonio Spurs,202.39100065524096,-9.312792574463904,97.0,107.0
Boston Celtics vs Charlotte Hornets,Boston Celtics,Charlotte Hornets,203.0297249377942,-1.056664386709258,101.0,102.0
Boston Celtics vs Denver Nuggets,Boston Celtics,Denver Nuggets,213.76251805685516,0.8684316661581479,108.0,107.0
